"week","x","year","week_num","week_start","date"
"2021-52",1.83702194,2021,52,2021-12-27,2021-12-29
"2021-52",1.83702194,2021,52,2021-12-27,2021-12-30
"2021-52",1.83702194,2021,52,2021-12-27,2021-12-31
"2021-52",1.83702194,2021,52,2021-12-27,2022-01-01
"2021-52",1.83702194,2021,52,2021-12-27,2022-01-02
"2022-01",3.2098905,2022,1,2022-01-03,2022-01-03
"2022-01",3.2098905,2022,1,2022-01-03,2022-01-04
"2022-01",3.2098905,2022,1,2022-01-03,2022-01-05
"2022-01",3.2098905,2022,1,2022-01-03,2022-01-06
"2022-01",3.2098905,2022,1,2022-01-03,2022-01-07
"2022-01",3.2098905,2022,1,2022-01-03,2022-01-08
"2022-01",3.2098905,2022,1,2022-01-03,2022-01-09
"2022-02",7.29006959,2022,2,2022-01-10,2022-01-10
"2022-02",7.29006959,2022,2,2022-01-10,2022-01-11
"2022-02",7.29006959,2022,2,2022-01-10,2022-01-12
"2022-02",7.29006959,2022,2,2022-01-10,2022-01-13
"2022-02",7.29006959,2022,2,2022-01-10,2022-01-14
"2022-02",7.29006959,2022,2,2022-01-10,2022-01-15
"2022-02",7.29006959,2022,2,2022-01-10,2022-01-16
"2022-03",7.96057438,2022,3,2022-01-17,2022-01-17
"2022-03",7.96057438,2022,3,2022-01-17,2022-01-18
"2022-03",7.96057438,2022,3,2022-01-17,2022-01-19
"2022-03",7.96057438,2022,3,2022-01-17,2022-01-20
"2022-03",7.96057438,2022,3,2022-01-17,2022-01-21
"2022-03",7.96057438,2022,3,2022-01-17,2022-01-22
"2022-03",7.96057438,2022,3,2022-01-17,2022-01-23
"2022-04",14.0432282,2022,4,2022-01-24,2022-01-24
"2022-04",14.0432282,2022,4,2022-01-24,2022-01-25
"2022-04",14.0432282,2022,4,2022-01-24,2022-01-26
"2022-04",14.0432282,2022,4,2022-01-24,2022-01-27
"2022-04",14.0432282,2022,4,2022-01-24,2022-01-28
"2022-04",14.0432282,2022,4,2022-01-24,2022-01-29
"2022-04",14.0432282,2022,4,2022-01-24,2022-01-30
"2022-05",13.9463265,2022,5,2022-01-31,2022-01-31
"2022-05",13.9463265,2022,5,2022-01-31,2022-02-01
"2022-05",13.9463265,2022,5,2022-01-31,2022-02-02
"2022-05",13.9463265,2022,5,2022-01-31,2022-02-03
"2022-05",13.9463265,2022,5,2022-01-31,2022-02-04
"2022-05",13.9463265,2022,5,2022-01-31,2022-02-05
"2022-05",13.9463265,2022,5,2022-01-31,2022-02-06
"2022-06",20.3805066,2022,6,2022-02-07,2022-02-07
"2022-06",20.3805066,2022,6,2022-02-07,2022-02-08
"2022-06",20.3805066,2022,6,2022-02-07,2022-02-09
"2022-06",20.3805066,2022,6,2022-02-07,2022-02-10
"2022-06",20.3805066,2022,6,2022-02-07,2022-02-11
"2022-06",20.3805066,2022,6,2022-02-07,2022-02-12
"2022-06",20.3805066,2022,6,2022-02-07,2022-02-13
"2022-07",11.8313038,2022,7,2022-02-14,2022-02-14
"2022-07",11.8313038,2022,7,2022-02-14,2022-02-15
"2022-07",11.8313038,2022,7,2022-02-14,2022-02-16
"2022-07",11.8313038,2022,7,2022-02-14,2022-02-17
"2022-07",11.8313038,2022,7,2022-02-14,2022-02-18
"2022-07",11.8313038,2022,7,2022-02-14,2022-02-19
"2022-07",11.8313038,2022,7,2022-02-14,2022-02-20
"2022-08",6.87290592,2022,8,2022-02-21,2022-02-21
"2022-08",6.87290592,2022,8,2022-02-21,2022-02-22
"2022-08",6.87290592,2022,8,2022-02-21,2022-02-23
"2022-08",6.87290592,2022,8,2022-02-21,2022-02-24
"2022-08",6.87290592,2022,8,2022-02-21,2022-02-25
"2022-08",6.87290592,2022,8,2022-02-21,2022-02-26
"2022-08",6.87290592,2022,8,2022-02-21,2022-02-27
"2022-09",9.67213267,2022,9,2022-02-28,2022-02-28
"2022-09",9.67213267,2022,9,2022-02-28,2022-03-01
"2022-09",9.67213267,2022,9,2022-02-28,2022-03-02
"2022-09",9.67213267,2022,9,2022-02-28,2022-03-03
"2022-09",9.67213267,2022,9,2022-02-28,2022-03-04
"2022-09",9.67213267,2022,9,2022-02-28,2022-03-05
"2022-09",9.67213267,2022,9,2022-02-28,2022-03-06
"2022-10",12.7815012,2022,10,2022-03-07,2022-03-07
"2022-10",12.7815012,2022,10,2022-03-07,2022-03-08
"2022-10",12.7815012,2022,10,2022-03-07,2022-03-09
"2022-10",12.7815012,2022,10,2022-03-07,2022-03-10
"2022-10",12.7815012,2022,10,2022-03-07,2022-03-11
"2022-10",12.7815012,2022,10,2022-03-07,2022-03-12
"2022-10",12.7815012,2022,10,2022-03-07,2022-03-13
"2022-11",6.61135557,2022,11,2022-03-14,2022-03-14
"2022-11",6.61135557,2022,11,2022-03-14,2022-03-15
"2022-11",6.61135557,2022,11,2022-03-14,2022-03-16
"2022-11",6.61135557,2022,11,2022-03-14,2022-03-17
"2022-11",6.61135557,2022,11,2022-03-14,2022-03-18
"2022-11",6.61135557,2022,11,2022-03-14,2022-03-19
"2022-11",6.61135557,2022,11,2022-03-14,2022-03-20
"2022-12",5.22671082,2022,12,2022-03-21,2022-03-21
"2022-12",5.22671082,2022,12,2022-03-21,2022-03-22
"2022-12",5.22671082,2022,12,2022-03-21,2022-03-23
"2022-12",5.22671082,2022,12,2022-03-21,2022-03-24
"2022-12",5.22671082,2022,12,2022-03-21,2022-03-25
"2022-12",5.22671082,2022,12,2022-03-21,2022-03-26
"2022-12",5.22671082,2022,12,2022-03-21,2022-03-27
"2022-13",4.55857042,2022,13,2022-03-28,2022-03-28
"2022-13",4.55857042,2022,13,2022-03-28,2022-03-29
"2022-13",4.55857042,2022,13,2022-03-28,2022-03-30
"2022-13",4.55857042,2022,13,2022-03-28,2022-03-31
"2022-13",4.55857042,2022,13,2022-03-28,2022-04-01
"2022-13",4.55857042,2022,13,2022-03-28,2022-04-02
"2022-13",4.55857042,2022,13,2022-03-28,2022-04-03
"2022-14",4.50114845,2022,14,2022-04-04,2022-04-04
"2022-14",4.50114845,2022,14,2022-04-04,2022-04-05
"2022-14",4.50114845,2022,14,2022-04-04,2022-04-06
"2022-14",4.50114845,2022,14,2022-04-04,2022-04-07
"2022-14",4.50114845,2022,14,2022-04-04,2022-04-08
"2022-14",4.50114845,2022,14,2022-04-04,2022-04-09
"2022-14",4.50114845,2022,14,2022-04-04,2022-04-10
"2022-15",4.19287154,2022,15,2022-04-11,2022-04-11
"2022-15",4.19287154,2022,15,2022-04-11,2022-04-12
"2022-15",4.19287154,2022,15,2022-04-11,2022-04-13
"2022-15",4.19287154,2022,15,2022-04-11,2022-04-14
"2022-15",4.19287154,2022,15,2022-04-11,2022-04-15
"2022-15",4.19287154,2022,15,2022-04-11,2022-04-16
"2022-15",4.19287154,2022,15,2022-04-11,2022-04-17
"2022-16",5.0705548,2022,16,2022-04-18,2022-04-18
"2022-16",5.0705548,2022,16,2022-04-18,2022-04-19
"2022-16",5.0705548,2022,16,2022-04-18,2022-04-20
"2022-16",5.0705548,2022,16,2022-04-18,2022-04-21
"2022-16",5.0705548,2022,16,2022-04-18,2022-04-22
"2022-16",5.0705548,2022,16,2022-04-18,2022-04-23
"2022-16",5.0705548,2022,16,2022-04-18,2022-04-24
"2022-17",3.53224798,2022,17,2022-04-25,2022-04-25
"2022-17",3.53224798,2022,17,2022-04-25,2022-04-26
"2022-17",3.53224798,2022,17,2022-04-25,2022-04-27
"2022-17",3.53224798,2022,17,2022-04-25,2022-04-28
"2022-17",3.53224798,2022,17,2022-04-25,2022-04-29
"2022-17",3.53224798,2022,17,2022-04-25,2022-04-30
"2022-17",3.53224798,2022,17,2022-04-25,2022-05-01
"2022-18",2.67011139,2022,18,2022-05-02,2022-05-02
"2022-18",2.67011139,2022,18,2022-05-02,2022-05-03
"2022-18",2.67011139,2022,18,2022-05-02,2022-05-04
"2022-18",2.67011139,2022,18,2022-05-02,2022-05-05
"2022-18",2.67011139,2022,18,2022-05-02,2022-05-06
"2022-18",2.67011139,2022,18,2022-05-02,2022-05-07
"2022-18",2.67011139,2022,18,2022-05-02,2022-05-08
"2022-19",2.70953321,2022,19,2022-05-09,2022-05-09
"2022-19",2.70953321,2022,19,2022-05-09,2022-05-10
"2022-19",2.70953321,2022,19,2022-05-09,2022-05-11
"2022-19",2.70953321,2022,19,2022-05-09,2022-05-12
"2022-19",2.70953321,2022,19,2022-05-09,2022-05-13
"2022-19",2.70953321,2022,19,2022-05-09,2022-05-14
"2022-19",2.70953321,2022,19,2022-05-09,2022-05-15
"2022-20",1.68949723,2022,20,2022-05-16,2022-05-16
"2022-20",1.68949723,2022,20,2022-05-16,2022-05-17
"2022-20",1.68949723,2022,20,2022-05-16,2022-05-18
"2022-20",1.68949723,2022,20,2022-05-16,2022-05-19
"2022-20",1.68949723,2022,20,2022-05-16,2022-05-20
"2022-20",1.68949723,2022,20,2022-05-16,2022-05-21
"2022-20",1.68949723,2022,20,2022-05-16,2022-05-22
"2022-21",2.48304358,2022,21,2022-05-23,2022-05-23
"2022-21",2.48304358,2022,21,2022-05-23,2022-05-24
"2022-21",2.48304358,2022,21,2022-05-23,2022-05-25
"2022-21",2.48304358,2022,21,2022-05-23,2022-05-26
"2022-21",2.48304358,2022,21,2022-05-23,2022-05-27
"2022-21",2.48304358,2022,21,2022-05-23,2022-05-28
"2022-21",2.48304358,2022,21,2022-05-23,2022-05-29
"2022-22",2.08418512,2022,22,2022-05-30,2022-05-30
"2022-22",2.08418512,2022,22,2022-05-30,2022-05-31
"2022-22",2.08418512,2022,22,2022-05-30,2022-06-01
"2022-22",2.08418512,2022,22,2022-05-30,2022-06-02
"2022-22",2.08418512,2022,22,2022-05-30,2022-06-03
"2022-22",2.08418512,2022,22,2022-05-30,2022-06-04
"2022-22",2.08418512,2022,22,2022-05-30,2022-06-05
"2022-23",3.38621592,2022,23,2022-06-06,2022-06-06
"2022-23",3.38621592,2022,23,2022-06-06,2022-06-07
"2022-23",3.38621592,2022,23,2022-06-06,2022-06-08
"2022-23",3.38621592,2022,23,2022-06-06,2022-06-09
"2022-23",3.38621592,2022,23,2022-06-06,2022-06-10
"2022-23",3.38621592,2022,23,2022-06-06,2022-06-11
"2022-23",3.38621592,2022,23,2022-06-06,2022-06-12
"2022-24",3.82458762,2022,24,2022-06-13,2022-06-13
"2022-24",3.82458762,2022,24,2022-06-13,2022-06-14
"2022-24",3.82458762,2022,24,2022-06-13,2022-06-15
"2022-24",3.82458762,2022,24,2022-06-13,2022-06-16
"2022-24",3.82458762,2022,24,2022-06-13,2022-06-17
"2022-24",3.82458762,2022,24,2022-06-13,2022-06-18
"2022-24",3.82458762,2022,24,2022-06-13,2022-06-19
"2022-25",6.87798733,2022,25,2022-06-20,2022-06-20
"2022-25",6.87798733,2022,25,2022-06-20,2022-06-21
"2022-25",6.87798733,2022,25,2022-06-20,2022-06-22
"2022-25",6.87798733,2022,25,2022-06-20,2022-06-23
"2022-25",6.87798733,2022,25,2022-06-20,2022-06-24
"2022-25",6.87798733,2022,25,2022-06-20,2022-06-25
"2022-25",6.87798733,2022,25,2022-06-20,2022-06-26
"2022-26",8.3554604,2022,26,2022-06-27,2022-06-27
"2022-26",8.3554604,2022,26,2022-06-27,2022-06-28
"2022-26",8.3554604,2022,26,2022-06-27,2022-06-29
"2022-26",8.3554604,2022,26,2022-06-27,2022-06-30
"2022-26",8.3554604,2022,26,2022-06-27,2022-07-01
"2022-26",8.3554604,2022,26,2022-06-27,2022-07-02
"2022-26",8.3554604,2022,26,2022-06-27,2022-07-03
"2022-27",5.97204595,2022,27,2022-07-04,2022-07-04
"2022-27",5.97204595,2022,27,2022-07-04,2022-07-05
"2022-27",5.97204595,2022,27,2022-07-04,2022-07-06
"2022-27",5.97204595,2022,27,2022-07-04,2022-07-07
"2022-27",5.97204595,2022,27,2022-07-04,2022-07-08
"2022-27",5.97204595,2022,27,2022-07-04,2022-07-09
"2022-27",5.97204595,2022,27,2022-07-04,2022-07-10
"2022-28",5.53166796,2022,28,2022-07-11,2022-07-11
"2022-28",5.53166796,2022,28,2022-07-11,2022-07-12
"2022-28",5.53166796,2022,28,2022-07-11,2022-07-13
"2022-28",5.53166796,2022,28,2022-07-11,2022-07-14
"2022-28",5.53166796,2022,28,2022-07-11,2022-07-15
"2022-28",5.53166796,2022,28,2022-07-11,2022-07-16
"2022-28",5.53166796,2022,28,2022-07-11,2022-07-17
"2022-29",5.93038483,2022,29,2022-07-18,2022-07-18
"2022-29",5.93038483,2022,29,2022-07-18,2022-07-19
"2022-29",5.93038483,2022,29,2022-07-18,2022-07-20
"2022-29",5.93038483,2022,29,2022-07-18,2022-07-21
"2022-29",5.93038483,2022,29,2022-07-18,2022-07-22
"2022-29",5.93038483,2022,29,2022-07-18,2022-07-23
"2022-29",5.93038483,2022,29,2022-07-18,2022-07-24
"2022-30",5.4938303,2022,30,2022-07-25,2022-07-25
"2022-30",5.4938303,2022,30,2022-07-25,2022-07-26
"2022-30",5.4938303,2022,30,2022-07-25,2022-07-27
"2022-30",5.4938303,2022,30,2022-07-25,2022-07-28
"2022-30",5.4938303,2022,30,2022-07-25,2022-07-29
"2022-30",5.4938303,2022,30,2022-07-25,2022-07-30
"2022-30",5.4938303,2022,30,2022-07-25,2022-07-31
"2022-31",7.38411695,2022,31,2022-08-01,2022-08-01
"2022-31",7.38411695,2022,31,2022-08-01,2022-08-02
"2022-31",7.38411695,2022,31,2022-08-01,2022-08-03
"2022-31",7.38411695,2022,31,2022-08-01,2022-08-04
"2022-31",7.38411695,2022,31,2022-08-01,2022-08-05
"2022-31",7.38411695,2022,31,2022-08-01,2022-08-06
"2022-31",7.38411695,2022,31,2022-08-01,2022-08-07
"2022-32",4.870208,2022,32,2022-08-08,2022-08-08
"2022-32",4.870208,2022,32,2022-08-08,2022-08-09
"2022-32",4.870208,2022,32,2022-08-08,2022-08-10
"2022-32",4.870208,2022,32,2022-08-08,2022-08-11
"2022-32",4.870208,2022,32,2022-08-08,2022-08-12
"2022-32",4.870208,2022,32,2022-08-08,2022-08-13
"2022-32",4.870208,2022,32,2022-08-08,2022-08-14
"2022-33",5.08145368,2022,33,2022-08-15,2022-08-15
"2022-33",5.08145368,2022,33,2022-08-15,2022-08-16
"2022-33",5.08145368,2022,33,2022-08-15,2022-08-17
"2022-33",5.08145368,2022,33,2022-08-15,2022-08-18
"2022-33",5.08145368,2022,33,2022-08-15,2022-08-19
"2022-33",5.08145368,2022,33,2022-08-15,2022-08-20
"2022-33",5.08145368,2022,33,2022-08-15,2022-08-21
"2022-34",2.1177289,2022,34,2022-08-22,2022-08-22
"2022-34",2.1177289,2022,34,2022-08-22,2022-08-23
"2022-34",2.1177289,2022,34,2022-08-22,2022-08-24
"2022-34",2.1177289,2022,34,2022-08-22,2022-08-25
"2022-34",2.1177289,2022,34,2022-08-22,2022-08-26
"2022-34",2.1177289,2022,34,2022-08-22,2022-08-27
"2022-34",2.1177289,2022,34,2022-08-22,2022-08-28
"2022-35",2.61366502,2022,35,2022-08-29,2022-08-29
"2022-35",2.61366502,2022,35,2022-08-29,2022-08-30
"2022-35",2.61366502,2022,35,2022-08-29,2022-08-31
"2022-35",2.61366502,2022,35,2022-08-29,2022-09-01
"2022-35",2.61366502,2022,35,2022-08-29,2022-09-02
"2022-35",2.61366502,2022,35,2022-08-29,2022-09-03
"2022-35",2.61366502,2022,35,2022-08-29,2022-09-04
"2022-36",2.26156061,2022,36,2022-09-05,2022-09-05
"2022-36",2.26156061,2022,36,2022-09-05,2022-09-06
"2022-36",2.26156061,2022,36,2022-09-05,2022-09-07
"2022-36",2.26156061,2022,36,2022-09-05,2022-09-08
"2022-36",2.26156061,2022,36,2022-09-05,2022-09-09
"2022-36",2.26156061,2022,36,2022-09-05,2022-09-10
"2022-36",2.26156061,2022,36,2022-09-05,2022-09-11
"2022-37",2.3467176,2022,37,2022-09-12,2022-09-12
"2022-37",2.3467176,2022,37,2022-09-12,2022-09-13
"2022-37",2.3467176,2022,37,2022-09-12,2022-09-14
"2022-37",2.3467176,2022,37,2022-09-12,2022-09-15
"2022-37",2.3467176,2022,37,2022-09-12,2022-09-16
"2022-37",2.3467176,2022,37,2022-09-12,2022-09-17
"2022-37",2.3467176,2022,37,2022-09-12,2022-09-18
"2022-38",2.58417867,2022,38,2022-09-19,2022-09-19
"2022-38",2.58417867,2022,38,2022-09-19,2022-09-20
"2022-38",2.58417867,2022,38,2022-09-19,2022-09-21
"2022-38",2.58417867,2022,38,2022-09-19,2022-09-22
"2022-38",2.58417867,2022,38,2022-09-19,2022-09-23
"2022-38",2.58417867,2022,38,2022-09-19,2022-09-24
"2022-38",2.58417867,2022,38,2022-09-19,2022-09-25
"2022-39",2.35631541,2022,39,2022-09-26,2022-09-26
"2022-39",2.35631541,2022,39,2022-09-26,2022-09-27
"2022-39",2.35631541,2022,39,2022-09-26,2022-09-28
"2022-39",2.35631541,2022,39,2022-09-26,2022-09-29
"2022-39",2.35631541,2022,39,2022-09-26,2022-09-30
"2022-39",2.35631541,2022,39,2022-09-26,2022-10-01
"2022-39",2.35631541,2022,39,2022-09-26,2022-10-02
"2022-40",2.02381323,2022,40,2022-10-03,2022-10-03
"2022-40",2.02381323,2022,40,2022-10-03,2022-10-04
"2022-40",2.02381323,2022,40,2022-10-03,2022-10-05
"2022-40",2.02381323,2022,40,2022-10-03,2022-10-06
"2022-40",2.02381323,2022,40,2022-10-03,2022-10-07
"2022-40",2.02381323,2022,40,2022-10-03,2022-10-08
"2022-40",2.02381323,2022,40,2022-10-03,2022-10-09
"2022-41",1.26623669,2022,41,2022-10-10,2022-10-10
"2022-41",1.26623669,2022,41,2022-10-10,2022-10-11
"2022-41",1.26623669,2022,41,2022-10-10,2022-10-12
"2022-41",1.26623669,2022,41,2022-10-10,2022-10-13
"2022-41",1.26623669,2022,41,2022-10-10,2022-10-14
"2022-41",1.26623669,2022,41,2022-10-10,2022-10-15
"2022-41",1.26623669,2022,41,2022-10-10,2022-10-16
"2022-42",3.79912832,2022,42,2022-10-17,2022-10-17
"2022-42",3.79912832,2022,42,2022-10-17,2022-10-18
"2022-42",3.79912832,2022,42,2022-10-17,2022-10-19
"2022-42",3.79912832,2022,42,2022-10-17,2022-10-20
"2022-42",3.79912832,2022,42,2022-10-17,2022-10-21
"2022-42",3.79912832,2022,42,2022-10-17,2022-10-22
"2022-42",3.79912832,2022,42,2022-10-17,2022-10-23
"2022-43",3.09376597,2022,43,2022-10-24,2022-10-24
"2022-43",3.09376597,2022,43,2022-10-24,2022-10-25
"2022-43",3.09376597,2022,43,2022-10-24,2022-10-26
"2022-43",3.09376597,2022,43,2022-10-24,2022-10-27
"2022-43",3.09376597,2022,43,2022-10-24,2022-10-28
"2022-43",3.09376597,2022,43,2022-10-24,2022-10-29
"2022-43",3.09376597,2022,43,2022-10-24,2022-10-30
"2022-44",3.29969851,2022,44,2022-10-31,2022-10-31
"2022-44",3.29969851,2022,44,2022-10-31,2022-11-01
"2022-44",3.29969851,2022,44,2022-10-31,2022-11-02
"2022-44",3.29969851,2022,44,2022-10-31,2022-11-03
"2022-44",3.29969851,2022,44,2022-10-31,2022-11-04
"2022-44",3.29969851,2022,44,2022-10-31,2022-11-05
"2022-44",3.29969851,2022,44,2022-10-31,2022-11-06
"2022-45",2.04238908,2022,45,2022-11-07,2022-11-07
"2022-45",2.04238908,2022,45,2022-11-07,2022-11-08
"2022-45",2.04238908,2022,45,2022-11-07,2022-11-09
"2022-45",2.04238908,2022,45,2022-11-07,2022-11-10
"2022-45",2.04238908,2022,45,2022-11-07,2022-11-11
"2022-45",2.04238908,2022,45,2022-11-07,2022-11-12
"2022-45",2.04238908,2022,45,2022-11-07,2022-11-13
"2022-46",3.4765389,2022,46,2022-11-14,2022-11-14
"2022-46",3.4765389,2022,46,2022-11-14,2022-11-15
"2022-46",3.4765389,2022,46,2022-11-14,2022-11-16
"2022-46",3.4765389,2022,46,2022-11-14,2022-11-17
"2022-46",3.4765389,2022,46,2022-11-14,2022-11-18
"2022-46",3.4765389,2022,46,2022-11-14,2022-11-19
"2022-46",3.4765389,2022,46,2022-11-14,2022-11-20
"2022-47",4.31577151,2022,47,2022-11-21,2022-11-21
"2022-47",4.31577151,2022,47,2022-11-21,2022-11-22
"2022-47",4.31577151,2022,47,2022-11-21,2022-11-23
"2022-47",4.31577151,2022,47,2022-11-21,2022-11-24
"2022-47",4.31577151,2022,47,2022-11-21,2022-11-25
"2022-47",4.31577151,2022,47,2022-11-21,2022-11-26
"2022-47",4.31577151,2022,47,2022-11-21,2022-11-27
"2022-48",4.34891566,2022,48,2022-11-28,2022-11-28
"2022-48",4.34891566,2022,48,2022-11-28,2022-11-29
"2022-48",4.34891566,2022,48,2022-11-28,2022-11-30
"2022-48",4.34891566,2022,48,2022-11-28,2022-12-01
"2022-48",4.34891566,2022,48,2022-11-28,2022-12-02
"2022-48",4.34891566,2022,48,2022-11-28,2022-12-03
"2022-48",4.34891566,2022,48,2022-11-28,2022-12-04
"2022-49",9.1251634,2022,49,2022-12-05,2022-12-05
"2022-49",9.1251634,2022,49,2022-12-05,2022-12-06
"2022-49",9.1251634,2022,49,2022-12-05,2022-12-07
"2022-49",9.1251634,2022,49,2022-12-05,2022-12-08
"2022-49",9.1251634,2022,49,2022-12-05,2022-12-09
"2022-49",9.1251634,2022,49,2022-12-05,2022-12-10
"2022-49",9.1251634,2022,49,2022-12-05,2022-12-11
"2022-50",10.2412494,2022,50,2022-12-12,2022-12-12
"2022-50",10.2412494,2022,50,2022-12-12,2022-12-13
"2022-50",10.2412494,2022,50,2022-12-12,2022-12-14
"2022-50",10.2412494,2022,50,2022-12-12,2022-12-15
"2022-50",10.2412494,2022,50,2022-12-12,2022-12-16
"2022-50",10.2412494,2022,50,2022-12-12,2022-12-17
"2022-50",10.2412494,2022,50,2022-12-12,2022-12-18
"2022-51",14.668095,2022,51,2022-12-19,2022-12-19
"2022-51",14.668095,2022,51,2022-12-19,2022-12-20
"2022-51",14.668095,2022,51,2022-12-19,2022-12-21
"2022-51",14.668095,2022,51,2022-12-19,2022-12-22
"2022-51",14.668095,2022,51,2022-12-19,2022-12-23
"2022-51",14.668095,2022,51,2022-12-19,2022-12-24
"2022-51",14.668095,2022,51,2022-12-19,2022-12-25
"2022-52",16.2172475,2022,52,2022-12-26,2022-12-26
"2022-52",16.2172475,2022,52,2022-12-26,2022-12-27
"2022-52",16.2172475,2022,52,2022-12-26,2022-12-28
"2022-52",16.2172475,2022,52,2022-12-26,2022-12-29
"2022-52",16.2172475,2022,52,2022-12-26,2022-12-30
"2022-52",16.2172475,2022,52,2022-12-26,2022-12-31
"2022-52",16.2172475,2022,52,2022-12-26,2023-01-01
"2023-01",10.4485044,2023,1,2023-01-02,2023-01-02
"2023-01",10.4485044,2023,1,2023-01-02,2023-01-03
"2023-01",10.4485044,2023,1,2023-01-02,2023-01-04
"2023-01",10.4485044,2023,1,2023-01-02,2023-01-05
"2023-01",10.4485044,2023,1,2023-01-02,2023-01-06
"2023-01",10.4485044,2023,1,2023-01-02,2023-01-07
"2023-01",10.4485044,2023,1,2023-01-02,2023-01-08
"2023-02",6.77313702,2023,2,2023-01-09,2023-01-09
"2023-02",6.77313702,2023,2,2023-01-09,2023-01-10
"2023-02",6.77313702,2023,2,2023-01-09,2023-01-11
"2023-02",6.77313702,2023,2,2023-01-09,2023-01-12
"2023-02",6.77313702,2023,2,2023-01-09,2023-01-13
"2023-02",6.77313702,2023,2,2023-01-09,2023-01-14
"2023-02",6.77313702,2023,2,2023-01-09,2023-01-15
"2023-03",4.01246468,2023,3,2023-01-16,2023-01-16
"2023-03",4.01246468,2023,3,2023-01-16,2023-01-17
"2023-03",4.01246468,2023,3,2023-01-16,2023-01-18
"2023-03",4.01246468,2023,3,2023-01-16,2023-01-19
"2023-03",4.01246468,2023,3,2023-01-16,2023-01-20
"2023-03",4.01246468,2023,3,2023-01-16,2023-01-21
"2023-03",4.01246468,2023,3,2023-01-16,2023-01-22
"2023-04",1.40809801,2023,4,2023-01-23,2023-01-23
"2023-04",1.40809801,2023,4,2023-01-23,2023-01-24
"2023-04",1.40809801,2023,4,2023-01-23,2023-01-25
"2023-04",1.40809801,2023,4,2023-01-23,2023-01-26
"2023-04",1.40809801,2023,4,2023-01-23,2023-01-27
"2023-04",1.40809801,2023,4,2023-01-23,2023-01-28
"2023-04",1.40809801,2023,4,2023-01-23,2023-01-29
"2023-05",1.22985093,2023,5,2023-01-30,2023-01-30
"2023-05",1.22985093,2023,5,2023-01-30,2023-01-31
"2023-05",1.22985093,2023,5,2023-01-30,2023-02-01
"2023-05",1.22985093,2023,5,2023-01-30,2023-02-02
"2023-05",1.22985093,2023,5,2023-01-30,2023-02-03
"2023-05",1.22985093,2023,5,2023-01-30,2023-02-04
"2023-05",1.22985093,2023,5,2023-01-30,2023-02-05
"2023-06",4.32043921,2023,6,2023-02-06,2023-02-06
"2023-06",4.32043921,2023,6,2023-02-06,2023-02-07
"2023-06",4.32043921,2023,6,2023-02-06,2023-02-08
"2023-06",4.32043921,2023,6,2023-02-06,2023-02-09
"2023-06",4.32043921,2023,6,2023-02-06,2023-02-10
"2023-06",4.32043921,2023,6,2023-02-06,2023-02-11
"2023-06",4.32043921,2023,6,2023-02-06,2023-02-12
"2023-07",3.32453396,2023,7,2023-02-13,2023-02-13
"2023-07",3.32453396,2023,7,2023-02-13,2023-02-14
"2023-07",3.32453396,2023,7,2023-02-13,2023-02-15
"2023-07",3.32453396,2023,7,2023-02-13,2023-02-16
"2023-07",3.32453396,2023,7,2023-02-13,2023-02-17
"2023-07",3.32453396,2023,7,2023-02-13,2023-02-18
"2023-07",3.32453396,2023,7,2023-02-13,2023-02-19
"2023-08",2.32092234,2023,8,2023-02-20,2023-02-20
"2023-08",2.32092234,2023,8,2023-02-20,2023-02-21
"2023-08",2.32092234,2023,8,2023-02-20,2023-02-22
"2023-08",2.32092234,2023,8,2023-02-20,2023-02-23
"2023-08",2.32092234,2023,8,2023-02-20,2023-02-24
"2023-08",2.32092234,2023,8,2023-02-20,2023-02-25
"2023-08",2.32092234,2023,8,2023-02-20,2023-02-26
"2023-09",3.50997753,2023,9,2023-02-27,2023-02-27
"2023-09",3.50997753,2023,9,2023-02-27,2023-02-28
"2023-09",3.50997753,2023,9,2023-02-27,2023-03-01
"2023-09",3.50997753,2023,9,2023-02-27,2023-03-02
"2023-09",3.50997753,2023,9,2023-02-27,2023-03-03
"2023-09",3.50997753,2023,9,2023-02-27,2023-03-04
"2023-09",3.50997753,2023,9,2023-02-27,2023-03-05
"2023-10",3.26829732,2023,10,2023-03-06,2023-03-06
"2023-10",3.26829732,2023,10,2023-03-06,2023-03-07
"2023-10",3.26829732,2023,10,2023-03-06,2023-03-08
"2023-10",3.26829732,2023,10,2023-03-06,2023-03-09
"2023-10",3.26829732,2023,10,2023-03-06,2023-03-10
"2023-10",3.26829732,2023,10,2023-03-06,2023-03-11
"2023-10",3.26829732,2023,10,2023-03-06,2023-03-12
"2023-11",6.97118055,2023,11,2023-03-13,2023-03-13
"2023-11",6.97118055,2023,11,2023-03-13,2023-03-14
"2023-11",6.97118055,2023,11,2023-03-13,2023-03-15
"2023-11",6.97118055,2023,11,2023-03-13,2023-03-16
"2023-11",6.97118055,2023,11,2023-03-13,2023-03-17
"2023-11",6.97118055,2023,11,2023-03-13,2023-03-18
"2023-11",6.97118055,2023,11,2023-03-13,2023-03-19
"2023-12",4.84594488,2023,12,2023-03-20,2023-03-20
"2023-12",4.84594488,2023,12,2023-03-20,2023-03-21
"2023-12",4.84594488,2023,12,2023-03-20,2023-03-22
"2023-12",4.84594488,2023,12,2023-03-20,2023-03-23
"2023-12",4.84594488,2023,12,2023-03-20,2023-03-24
